ticker,name,as_of,latest_price,drop_pct,flat_range_pct,flat_slope_pct,flat_realized_vol_pct,max_abs_flat_daily_return_pct,volatility_contraction_ratio,volume_contraction_ratio,avg_dollar_volume,latest_close_position,shape_score,bear_flag_risk,flags
DVA,DaVita Inc.,2026-08-24,176.5,-21.41,6.59,-2.55,1.09,1.87,0.18,0.41,104374742.0,0.45,47.76,high,plateau_down_slope;fresh_flattening_low
LMAT,"LeMaitre Vascular, Inc.",2026-08-24,79.96,-22.55,5.9,-1.49,1.62,2.88,0.18,1.05,32621322.0,0.07,40.41,high,slight_down_slope;close_near_range_low;fresh_flattening_low
