ticker,code,name,lot_size,stock_type,stock_child_type,listing_date,last_trade_time,last_price,open_price,high_price,low_price,prev_close_price,volume,turnover,amplitude,turnover_rate,market_val,pe_ratio,pb_ratio,update_time,retrieved_at_utc
SKHY,US.SKHY,SK海力士,1,STOCK,N/A,2026-07-10,,189.55,191.51,193.078,186.11,195.37,10245327.0,1944614990.991,3.567,0.176,,43.594,11.388,2026-09-23 14:03:57,2026-09-24T02:03:56+08:00
SLV,US.SLV,白银ETF-iShares,1,ETF,N/A,1970-01-01,,58.365,58.97,59.03,58.06,60.73,11840874.0,692289013.318,1.597,2.164,,nan,nan,2026-09-23 14:03:53,2026-09-24T02:03:56+08:00
SLVP,US.SLVP,安硕MSCI环球银矿ETF,1,ETF,N/A,1970-01-01,,37.505,38.12,38.305,37.1267,39.51,152638.0,5718668.327,2.982,0.599,,nan,nan,2026-09-23 14:03:55,2026-09-24T02:03:56+08:00
SMH,US.SMH,半导体指数ETF-VanEck,1,ETF,N/A,1970-01-01,,599.1802,605.09,606.285,593.79,607.46,3997428.0,2392551918.4,2.057,3.273,,nan,nan,2026-09-23 14:03:57,2026-09-24T02:03:56+08:00
SMTC,US.SMTC,先科电子,1,STOCK,N/A,1970-01-01,,167.73,172.61,174.5,165.01,174.33,2267986.0,382948924.805,5.444,2.445,,-364.63,20.903,2026-09-23 14:03:52,2026-09-24T02:03:56+08:00
SNDK,US.SNDK,闪迪,1,STOCK,N/A,1970-01-01,,1828.03,1896.1,1902.22,1810.1101,1887.04,5837262.0,10759931233.123,4.881,4.04,,24.783,17.009,2026-09-23 14:03:57,2026-09-24T02:03:56+08:00
SNXX,US.SNXX,2倍做多SNDK ETF-Tradr,1,ETF,N/A,2026-01-27,,18.604,19.99,20.1526,18.225,19.8,37396536.0,708198632.951,9.735,33.128,,nan,nan,2026-09-23 14:03:54,2026-09-24T02:03:56+08:00
SOXS,US.SOXS,三倍做空半导体ETF-Direxion,1,ETF,N/A,1970-01-01,,34.03,32.82,35.06,32.63,32.42,70367348.0,2396145660.4,7.495,180.114,,nan,nan,2026-09-23 14:03:57,2026-09-24T02:03:56+08:00
SOXX,US.SOXX,半导体ETF-iShares,1,ETF,N/A,1970-01-01,,563.1875,570.74,571.55,557.07,572.78,7733044.0,4349794816.343,2.528,8.93,,nan,nan,2026-09-23 14:03:57,2026-09-24T02:03:56+08:00
SPCX,US.SPCX,SpaceX,1,STOCK,N/A,2026-06-12,,149.69,153.35,154.26,149.63,154.72,32882144.0,5003933701.909,2.993,1.463,,-396.005,15.508,2026-09-23 14:03:57,2026-09-24T02:03:56+08:00
SPY,US.SPY,标普500ETF-SPDR,1,ETF,N/A,1970-01-01,,768.34,772.75,773.02,766.5,773.38,22328428.0,17178623322.12,0.843,2.15,,nan,nan,2026-09-23 14:03:57,2026-09-24T02:03:56+08:00
TEM,US.TEM,Tempus AI,1,STOCK,N/A,2024-06-14,,76.44,76.47,78.97,76.03,77.19,3339430.0,257708654.35,3.809,2.877,,-54.212,30.997,2026-09-23 14:03:56,2026-09-24T02:03:56+08:00
TSM,US.TSM,台积电,1,STOCK,N/A,1997-10-08,,446.145,449.79,450.8725,442.88,452.0,6606981.0,2951116327.47,1.768,0.141,,43.214,11.405,2026-09-23 14:03:57,2026-09-24T02:03:56+08:00
TWST,US.TWST,Twist Bioscience,1,STOCK,N/A,2018-10-31,,159.525,164.35,166.3495,157.41,164.6,1319540.0,211907869.86,5.431,2.017,,-122.711,23.728,2026-09-23 14:03:55,2026-09-24T02:03:56+08:00
TXG,US.TXG,10x Genomics,1,STOCK,N/A,2019-09-12,,75.3,80.37,81.93,75.01,80.7,2003242.0,155189651.547,8.575,1.695,,-215.142,11.884,2026-09-23 14:03:49,2026-09-24T02:03:56+08:00
TXN,US.TXN,德州仪器,1,STOCK,N/A,2012-01-03,,270.83,272.41,272.41,266.6,271.41,2032753.0,548897606.993,2.141,0.223,,49.693,13.735,2026-09-23 14:03:52,2026-09-24T02:03:56+08:00
VCYT,US.VCYT,Veracyte,1,STOCK,N/A,1970-01-01,,42.89,42.95,43.71,42.25,43.36,782653.0,33694297.394,3.367,0.98,,52.304,2.483,2026-09-23 14:03:48,2026-09-24T02:03:56+08:00
VIS,US.VIS,工业股指数ETF-Vanguard,1,ETF,N/A,1970-01-01,,328.31,326.67,328.72,325.945,327.3778,69449.0,22770614.973,0.848,0.279,,nan,nan,2026-09-23 14:02:06,2026-09-24T02:03:56+08:00
VLUE,US.VLUE,iShares安硕MSCI美元价值因素,1,ETF,N/A,1970-01-01,,201.76,203.17,202.9,201.09,202.7,229631.0,46356953.33,0.893,0.481,,nan,nan,2026-09-23 14:03:30,2026-09-24T02:03:56+08:00
VOO,US.VOO,标普500ETF-Vanguard,1,ETF,N/A,1970-01-01,,708.09,712.18,712.37,706.3634,712.78,3065048.0,2174018016.33,0.843,0.201,,nan,nan,2026-09-23 14:03:52,2026-09-24T02:03:56+08:00
VRT,US.VRT,Vertiv Holdings,1,STOCK,N/A,2018-06-08,,250.43,254.21,254.96,248.75,253.46,2078069.0,522285543.042,2.45,0.541,,73.439,20.264,2026-09-23 14:03:44,2026-09-24T02:03:56+08:00
VT,US.VT,全球股市指数ETF-Vanguard,1,ETF,N/A,1970-01-01,,159.58,160.535,160.66,159.095,161.24,3548872.0,567830428.091,0.971,0.691,,nan,nan,2026-09-23 14:03:04,2026-09-24T02:03:56+08:00
XBI,US.XBI,标普生物科技ETF-SPDR,1,ETF,N/A,1970-01-01,,155.16,161.91,162.68,154.44,161.87,7550544.0,1188969883.626,5.091,11.44,,nan,nan,2026-09-23 14:03:44,2026-09-24T02:03:56+08:00
