ticker,name,as_of,latest_price,drop_pct,flat_range_pct,flat_slope_pct,flat_realized_vol_pct,max_abs_flat_daily_return_pct,volatility_contraction_ratio,volume_contraction_ratio,avg_dollar_volume,latest_close_position,shape_score,bear_flag_risk,flags
DVA,DaVita Inc.,2026-08-20,175.24,-25.72,4.82,-2.31,1.2,1.87,0.21,0.39,108769533.0,0.01,55.27,high,plateau_down_slope;close_near_range_low;fresh_flattening_low
LMAT,"LeMaitre Vascular, Inc.",2026-08-20,82.32,-18.24,5.51,0.39,1.43,2.88,0.15,0.76,28955702.0,0.54,51.4,low,
