ticker,name,as_of,latest_price,drop_pct,flat_range_pct,flat_slope_pct,flat_realized_vol_pct,max_abs_flat_daily_return_pct,volatility_contraction_ratio,volume_contraction_ratio,avg_dollar_volume,latest_close_position,shape_score,bear_flag_risk,flags
TBBK,The Bancorp Inc.,2026-09-21,50.28,-22.62,3.61,-0.03,0.75,1.4,0.09,2.39,40381509.0,0.38,67.2,medium,close_below_range_mid
COO,"The Cooper Companies, Inc. Common Stock",2026-09-21,54.12,-22.71,5.95,1.01,1.88,2.82,0.37,2.54,312277130.0,0.43,39.96,low,
