ticker,name,as_of,latest_price,drop_pct,flat_range_pct,flat_slope_pct,flat_realized_vol_pct,max_abs_flat_daily_return_pct,volatility_contraction_ratio,volume_contraction_ratio,avg_dollar_volume,latest_close_position,shape_score,bear_flag_risk,flags
NYT,New York Times Co.,2026-08-18,65.07,-18.21,4.77,2.15,1.05,1.98,0.23,0.58,114212568.0,0.64,52.2,low,
LMAT,"LeMaitre Vascular, Inc.",2026-08-18,81.52,-21.36,6.11,0.56,0.98,2.03,0.11,0.98,32024533.0,0.42,51.56,low,
DVA,DaVita Inc.,2026-08-18,177.91,-23.73,6.11,-3.32,1.51,2.91,0.26,0.51,134999492.0,0.16,38.59,high,plateau_down_slope;close_near_range_low;fresh_flattening_low
