strategy,date,ticker,category,signal,hit,target_hit,risk_first,max_gain,min_return,net_return,first_hit
1,2026-05-01,AAPL,cloud_and_platform,False,False,False,False,0.12638787076934088,-0.017145768893815583,0.11387491730882715,
2,2026-05-01,AAPL,cloud_and_platform,False,False,False,False,0.054012980279272815,-0.017145768893815583,0.04686377858432711,
3,2026-05-01,AAPL,cloud_and_platform,False,False,False,False,0.12638787076934088,-0.017145768893815583,0.11387491730882715,
5,2026-05-01,AAPL,cloud_and_platform,True,False,False,False,0.054012980279272815,-0.017145768893815583,0.04686377858432711,
1,2026-05-01,ADBE,enterprise_ai_software,False,False,False,False,0.06040241609664365,-0.07300292011680465,0.03488147525901031,
2,2026-05-01,ADBE,enterprise_ai_software,False,False,False,False,0.037801512060482434,-0.015560622424897086,0.010200488019520783,
3,2026-05-01,ADBE,enterprise_ai_software,False,False,False,False,0.06040241609664365,-0.07300292011680465,0.03488147525901031,
5,2026-05-01,ADBE,enterprise_ai_software,False,False,False,False,0.037801512060482434,-0.015560622424897086,0.010200488019520783,
1,2026-05-01,ADI,semiconductors_and_equipment,False,False,False,False,0.08318003281459752,-0.052304479689752825,0.026812211007805953,
2,2026-05-01,ADI,semiconductors_and_equipment,False,False,False,False,0.04099338736140812,-0.02580420623477353,0.03344970914334011,
3,2026-05-01,ADI,semiconductors_and_equipment,False,False,False,False,0.08318003281459752,-0.052304479689752825,0.026812211007805953,
5,2026-05-01,ADI,semiconductors_and_equipment,False,False,False,False,0.04099338736140812,-0.02580420623477353,0.03344970914334011,
1,2026-05-01,ADSK,enterprise_ai_software,False,False,False,False,0.0448216552684384,-0.1113477210368975,-0.0547458126868422,
2,2026-05-01,ADSK,enterprise_ai_software,False,False,False,False,0.0448216552684384,-0.017158769810393548,-0.0007304967443384474,
3,2026-05-01,ADSK,enterprise_ai_software,False,False,False,False,0.0448216552684384,-0.1113477210368975,-0.0547458126868422,
5,2026-05-01,ADSK,enterprise_ai_software,True,False,False,False,0.0448216552684384,-0.017158769810393548,-0.0007304967443384474,
1,2026-05-01,AMAT,semiconductors_and_equipment,False,False,False,False,0.19433825808451277,-0.0039001963012709195,0.16046513069531976,
2,2026-05-01,AMAT,semiconductors_and_equipment,False,True,True,False,0.13141853497262113,-0.0039001963012709195,0.07800000000000007,3
3,2026-05-01,AMAT,semiconductors_and_equipment,False,False,False,False,0.19433825808451277,-0.0039001963012709195,0.16046513069531976,
5,2026-05-01,AMAT,semiconductors_and_equipment,False,True,True,False,0.13141853497262113,-0.0039001963012709195,0.07800000000000007,3
1,2026-05-01,AMD,semiconductors_and_equipment,False,True,True,False,0.4631842024922981,-0.05997613166440019,0.19799999999999995,5
2,2026-05-01,AMD,semiconductors_and_equipment,False,True,True,True,0.2663817268463269,-0.05997613166440019,0.07800000000000007,3
3,2026-05-01,AMD,semiconductors_and_equipment,False,True,True,False,0.4631842024922981,-0.05997613166440019,0.19799999999999995,5
5,2026-05-01,AMD,semiconductors_and_equipment,False,True,True,True,0.2663817268463269,-0.05997613166440019,0.07800000000000007,3
1,2026-05-01,AMZN,cloud_and_platform,False,False,False,False,0.036328800758942625,-0.05061478078089254,0.0048639669636711975,
2,2026-05-01,AMZN,cloud_and_platform,False,False,False,False,0.036328800758942625,0.0,0.012453393850331953,
3,2026-05-01,AMZN,cloud_and_platform,False,False,False,False,0.036328800758942625,-0.05061478078089254,0.0048639669636711975,
