ticker,name,as_of,latest_price,drop_pct,flat_range_pct,flat_slope_pct,flat_realized_vol_pct,max_abs_flat_daily_return_pct,volatility_contraction_ratio,volume_contraction_ratio,avg_dollar_volume,latest_close_position,shape_score,bear_flag_risk,flags
LMAT,"LeMaitre Vascular, Inc.",2026-08-17,82.51,-21.0,4.62,1.85,0.87,2.03,0.09,1.1,31169856.0,0.85,49.72,low,
DVA,DaVita Inc.,2026-08-17,176.7,-24.55,6.11,-2.59,1.66,2.91,0.29,0.77,155245617.0,0.05,36.79,high,plateau_down_slope;close_near_range_low;fresh_flattening_low
