ticker,name,as_of,latest_price,drop_pct,flat_range_pct,flat_slope_pct,flat_realized_vol_pct,max_abs_flat_daily_return_pct,volatility_contraction_ratio,volume_contraction_ratio,avg_dollar_volume,latest_close_position,shape_score,bear_flag_risk,flags
LMAT,"LeMaitre Vascular, Inc.",2026-08-19,83.87,-20.55,5.51,1.4,1.38,2.88,0.15,0.81,29612552.0,0.89,46.27,low,
DVA,DaVita Inc.,2026-08-19,177.27,-23.1,6.11,-2.77,1.51,2.91,0.25,0.39,124838972.0,0.1,43.31,high,plateau_down_slope;close_near_range_low
